Token_Entropy,Sentence_Entropy,Acc
0.3126551509,0.070962429,0.8
0.3549761772,0.0810490623,0.834
0.3386434615,0.0771955028,0.846
0.3137346208,0.0713746473,0.838
0.3122313619,0.0679604039,0.796
0.3494059145,0.0802623853,0.764
0.3494770527,0.0822122619,0.71
0.3137899041,0.0716924444,0.82
0.3467774093,0.0807893053,0.826
0.3583144546,0.0811115429,0.826
0.332239598,0.0759355575,0.836
0.3514936864,0.0796794593,0.836
0.3096401691,0.0751127601,0.772
0.3173231483,0.0704565272,0.792
0.3216392696,0.0732334107,0.838
0.3397602439,0.0785556063,0.81
0.360699296,0.0747312829,0.81
0.3597742319,0.0797457099,0.824
0.3633905351,0.0807569474,0.834
0.3283784986,0.0738965645,0.826
